Zentact|Zentact offers a service that helps users stay better connected with their contacts.  It is a browser plug-in that reads the same pages you do as you surf the Web and alerts you when there is a contextual match to one of the tagged interests of someone in your email contact list.  It reminds you to reach out to those contacts when you run across...
Zenogen|Zenogen has developed graphite electrodes for Water Electrolysis: the only commercially viable zero-emissions method of producing industrial gases such as Hydrogen. This process ordinarily requires prohibitively expensive metal catalysts, such as Platinum, in order to attain a production efficiency that is economically viable. Zenogen has a...
Zendesk|Zendesk is a customer service platform that builds software to empower organization and customer relationships.Zendesk builds software for better customer relationships. It empowers organizations to improve customer engagement and better understand their customers. Zendesk products are easy to use and implement. They give organizations the...
Zebtab|Zebtab is an aggregated desktop widget that delivers the latest snackable content in a rich media format to the consumer for free. Zebtab is an ad platform with content from the worlds of Sport, Entertainment,News and TV.
Zazuba|Zazuba is a centralized portal where businesses can take and customers can make appointments free of charge. Users can search for businesses based on appointment type, price or prior reviews. Reviews can only be submitted after a user has completed a confirmed appointment. Appointments can be made via an iPhone or Android application. Zazuba...
Zavedenia.com|Zavedenia.com is the largest internet portal for restaurants, clubs and bars in the capital of Bulgaria â€“ Sofia. The cityâ€™s population is near 1.5 milion people and more than visitors come to browse our database daily. The catalog contains a lot of helpful information about many places in the major cities in Bulgaria, places to party, to...
Pipemonk (Formerly ZapStitch)|"We are building a ""Cloud Data Integration"" platform that seamlessly synchronizes and moves data between various Cloud Business Apps (like Shopify, QuickBooks, BigCommerce, etc)."
Zackfire.com|Zackfire.com is aimed to create ease for beginners web in creation process. In this regard company offers useful tutorials and practice space for html , css , php , java , javascript and ajax. It currently has one office in Islamabad and one in Lahore but the its server is located in islamabad. Although the company has not reached its break-even...
ZUGGI|First Australian search engine for kids! Here you will find news about education, technology and child behavior.Zuggi is a safe search engine designed for children from around the world. Zuggi blocks inappropriate content and also promotes educational content that kids are learning in schools. Zuggi is the first search engine for kids in Latin...
ZOOM TV|ZOOM TV - is a Smart TV application that allows user to watch TV-channels right on their Smart TV via the internet (over the top) without using any cables, satelites, set-top boxes and other additional infrastructure.
YupiCall|YupiCall is an international calling service that enables users to connect with friends and family abroad, using a mobile phone; YupiCall doesn’t require an Internet connection, works with or without a smartphone, and doesn’t use the user’s cellular minutes.There is no headset, no download, no software and no broadband connection needed. You...
Yummly|Yummly enables its users to search for recipes by ingredient, diet, allergy, nutrition, taste, calories, fat, price, cuisine, time, course, and source. The Yummly app is available for iPhone, iPad, Android, and Windows.Yummly, Inc. was founded in 2009 and is based in Redwood City, California.
Yozons|Yozons provides web-based electronic contracting software, including legally binding electronic signatures using digital signature technology.With the release of Open eSignForms in June 2011, Yozons officially joined the open source movement providing its software under the AGPL as well as offering commercial licenses with its hosted services.
Yoursphere Media|Yoursphere.com was created with the direct input and involvement of young people around the world. Yoursphere authentically represents the voice, interests, talents and aspirations of young people. This global community is a platform that allows youth to create, connect and share their thoughts, ideas, social interactions, friendships and interests...
Youneeq|Youneeq is an award-winning Artificial Intelligence platform for Omni channel personalization that delivers the most relevant and individual customer experiences across web, mobile, in store and to any digital device, anywhere in real time.Youneeq’s AI-powered personalization platform analyzes behaviors of each individual site/network user,...
YouView|YouView is a subscription-free and easy to use TV service with over 70 live digital channels. It seamlessly combines seven day catch-up on BBC iPlayer, ITV Player, 4oD and Demand 5 with a library of on demand television programmes, films and radio. A range of quality content is available from partners including Now TV powered by Sky, milkshake!...
YouGift|The YouGift team has been hard at work working creating an amazing YouGift iPhone and iPad app.
Yodh Power and Technologies Group Limited|YodhPower is an EPC contractor and operator of utility scale, commercial and small size solar power systems based in Hong Kong and focused on Asia Pacific. Since our founding, we have used design and renewable energies to enrich people’s lives and help organizations succeed.YodhPower’s mission is to deliver exceptional renewable energies...
Yobongo|Yobongo is a mobile communication startup currently in private beta testing. They keys to the service are location, realtime, and identity. Yobongo is a new way for people to communicate with people nearby. We believe connecting with people in the real world is much harder than it should be. That by giving people the opportunity to connect with...
Ynusitado Digital Marketing Intelligence|The Ynusitado is a boutique agency specializing in digital intelligence. We plan, we execute and we measure online strategies for high performance, with emphasis on producing content for social media, website optimization for search engines and creating sponsored links campaigns.The Ynusitado also provides information architecture and...
Yieldbot|Yieldbot is a true technology company aiming to do nothing short of revolutionize the way media value is created for consumers, brands and publishers. They strive to consistently outperform expectations creating a better, more relevant web with their technology. In so doing, they believe they will enable the media industry to realize its true value...
Yidio|Founded in 2008, Yidio (short for Your Internet Video) is the largest independent programming guide in the world with more than 7.5 million registered users and millions of monthly users.  Yidio makes it easy to search, discover, and watch over one million TV shows & movies across 180 content providers. Yidio is a Free service that allows...
Yhat|Yhat (pronounced Y-hat) provides an end-to-end data science platform for developing, deploying, and managing real-time decision APIs.Yhat eliminates painful IT obstacles involved in cloud-based data science like server setup and config. With Yhat, data scientists can transform static insights into production-ready decision making APIs that...
Yerbabuena Software|Yerbabuena Software started at the end of 2005 as a Spin Off Project of the University of Malaga. Less than two years were enough to be considered as a echnologyT Based company with High Innovation Potential by the Ministry of Industry. It was called also as a Technology Transfer company by Andalusian Government and RETA. Yerbabuena was rewarded...
Yellow Pages|Polish business portal www.yellowpages.pl is wholly owned by Yellow Pages Sp. z o.o. (Ltd Co.). The company contains 100% of polish capital.Yellow Pages has its premises in Bielsko-BiaÅ‚a and its Trade Office in Krakow.The main goals of YellowPages.pl are polish business initiatives promotion, assistance in gaining both new contractors and...
Yatedo|Yatedo is a free people search engine which helps you find and contact anybody throughout the web. Whether you are looking for friends, longtime schoolmates, people that share your interests, someone to hire, or even celebrities, Yatedo makes it easy for you to find and connect with them.
Yatango Mobile|Social Telecommunications Platform that empowers customers to get a better deal on their mobile.
Yast|"Yast is a ""Software as a service"" company. The service at www.yast.com is an online time-tracking applicationThe company focuses on userfriendly interfacesWhen launced as a beta-solution in november 2009, it got a massive response from testers all around the world thanks to good reviews in blogs like lifehacker, downloadsquad,..."
Yashi|Yashi is an award winning online advertising  location focused video advertising platform,  launched in 2007 by Jay Gould and  Caitlin Gould.   The company’s platform analyzes tens of billions of video ads in real time on a monthly basis across thousands of websites. The company’s headquarters are in Toms River, New Jersey. To learn more about...
Yard Club (acquired by Caterpillar)|Founded in San Francisco in 2013, Yard Club is dedicated to building technology to help the men and women who build our world. They produce construction tech platforms that help contractors and equipment rental companies better manage their owned and rented equipment fleets with the goal of maximizing utilization of their capital assets. In 2016,...
Yapmo|Yapmo: The Message Intelligence CompanyWe are the next generation of the Social Enterprise. Yapmo is designed to create the most effective and efficient group communication for businesses. The Yapmo platform integrates into any business process that requires group communication. Our unique platform adds structure, consistency and search...
Yakimbi|Yakimbi provides a fully encrypted online and mobile file storage and collaboration solution.Yakimbi was founded in 2009 by Andrew Diamond. As a heavy mobile user Andrew was concerned about security that current vendors were providing both in Free and paid solutions. With mobile devices now having a large storage space everyone is saving...
Yactraq Online|Yactraq provides market leading business intelligence on audio and video media using machine learning mass customization techniques driven by our award winning and patent pending speech based semantic computing platform. Our versatile core platform supports a flexible application layer that allows us to create customized solutions that can accept a...
yaBeam|"yaBeam is a proximity marketing platform that matches content and coupons to the location, destination and activities of mobile consumers. Deliver rich contextual content & local offers to mobile consumers at the right time & place. Perfect for publishers, travel, hospitality & more. Our Work: sayulitapack.com
"
YR Free|YR Free focuses on ethical, data, image and video that empowers people with the capability to stream live events from their mobile phones to central servers. This allows audio/visual, data and image recording of events as they happen, delivered in real time and automatically directed to specific subscribers.Whether you are a private...
YOUnite|YOUniteÂ®'s vision is to enable a distributed global personal information exchange for businesses and organizations and individuals.Using the YOUniteÂ® APIs, developers can create applications that will propagate information between multiple devices/clients, users and organizations without requiring data to be stored in a central...
YDEA|YDEA(www.ydea.co) focuses on improving and providing E-Commerce experiences. The company explores best E-Commerce solutions for next generations in mobile devices. Our Mission: Delivering the best shopping experience. For more information about our products we provide, visit us. www.ydea.co
YAMAP|YAMAP is born to make your outdoors, such as hike or ski, more safety, and more enjoyable with your iPhone. YAMAP App can track and log your outdoors, view elevation info, and build an online outdoor journal. Love & share the outdoors with YAMAP ! ■■ Three Main Features of YAMAP ■■ 1) Safe ◆YAMAP App makes your iPhone a special GPS...
Y'all|How many times have you made drink plans with friends, colleagues and acquaintances? If you had Y'all, you'd never have to mark your calendar or a pesky sheet of paper! Just, BOOM, download the app to your iPhone (Android coming soon), then BOOM, you have a real-time list each and every time you offer to get drinks with someone. Check...
Xplr Software|Xplr Software is reinventing the insight discovery and analytics market with a state-of-the-art Artificial Intelligence and Machine Learning platform that gives businesses the power to effortlessly build enterprise-grade intelligent data solutions.The Xplr™ platform components are being used to both build and enhance advanced search and...
Xooker|XookerTM (pronounced “Zooker”) is a mobile-first consumer engagement platform. With Xooker, restaurants and retailers get new customers, and keep them, through a powerful combination of personalized messaging, automatic check-in, games, rewards, and analytics.  Most current digital and mobile marketing solutions – ad services, prepaid deals, coupon...
Xogen Technologies|Xogen Technologies Inc. is a privately-held Canadian CleanTech company providing industry and government with innovative wastewater treatment solutions worldwide. Funded in part by Sustainable Development Technology Canada, Natural Sciences and Engineering Research Council of Canada and Ontario Centres of Excellence, Xogen’s patented technology...
Xockets|Xockets builds hardware and software acceleration into appliances for Big Data processing. Traffic management, high speed memory and dense computational capacity enables these solutions at a fraction of the server and power resources required for the standard approaches.Xockets was formed in 2012, and graduated from the Alchemist accelerator in...
Xobni|Xobni (the word 'inbox' spelled backwards) makes your inbox and address book smarter.  First launching to the public in 2008, Xobni and its Smartr product suite, discover all the people you've ever emailed, called or texted, and creates complete and social profiles that are instantly searchable.  Profiles include a photo, job title,...
Xcedex|Xcedex is a leading provider of software products and services which help organizations with physical to virtual(P2V), virtual to virtual(V2V), virtual to cloud(V2C), and data center simplification. X_FactorÂ©, Xcedexâ€™s discovery and device intelligence software product, features an agent less architecture enabling an organizationâ€™s entire...
Xatori|Xatori is a Palo Alto-based company that builds innovative software for electric vehicles and an enlightened electricity grid.CEO Forrest North was previously founder and CEO at Mission Motors and an engineer at Tesla Motors. CTO Armen Petrosian was previously an engineer at Amprius and on the Stanford Solar Car team. Advisors include Max...
XTWIP|XTWIP provides real time collaboration for third party Rich Internet Applications. Offering a simple, plug-and-play SDK, any Flash or Flex application can be turned into an interactive experience of cooperation between users who will be able to change the same content at the same time, everyone seeing what everyone else is modifying in a split...
Wyzerr|Every brand has a vision for growth and expansion. The intricacies of growing a brand are complex but the underlying mechanism is simple: keep current consumers happy while consistently obtaining new consumers. The key for a successful brand to make consumers happy is to know when they become unhappy. Consumer feedback is gold. When consumers share...
Worldcast Inc|Worldcast Ondemand Media Platform allows a publisher from anywhere in the world that has a internet connection to stream their service to a subscriber. The cost saving for venue owners is significant and amazing: No more worrying about air fare cost, hotel fees, transportation cost and high booking fees. The added features (multiple venue view,...
Workube|Workube is an Internal and External Communication and Collaboration Networkfor Professionals, Business Teams and Companies.The site facilitates the growth of business interactions through company and personal profiles. Profiles allow company networks and individuals to share their recent work, contact information, discussions, and job...
Workspot|Workspot is an insanely simple, turnkey cloud service for securely delivering Windows 10 desktops, apps and workstations to any device from Microsoft Azure Cloud. Workspot's Desktop Cloud allows secure virtual desktop deployments to happen on Azure in a day!
Workpop|Workpop is the world's first Applicant Hiring System that doesn't just track applicants, but delivers the best candidate experience required to win in today's competitive talent market. While other hiring software focuses on tools that help you screen candidates, we know that top candidates are evaluating YOU on your application...
WorkVoices|WorkVoices is an enterprise social network for easy and quick communication within your organization, to share knowledge and to find and keep colleagues informed.
WorkTouch|WorkTouch build web/ app and other software products designed to define the future of the employer-employee-recruiter relationship.Developing products on the WorkTouch platform to generate opportunity for everyone and create entrepreneurial job seekers with powerful control over their own destiny.Believe that in this day and age, being...
WorkFusion|WorkFusion is the complete automation solution for global operations, combining into one platform the core capabilities you need to digitize complex business processes: business process management (BPM), robotic process automation (RPA), workforce orchestration, and machine learning-powered cognitive automation.The platform combines the best of...
Wonderflow|Wonderflow is the all in one analytics platform that enables companies to improve their consumer intimacy using consumer feedbacks analysis.
Wonder Workshop|Wonder Workshop is teaching children to code by integrating cutting-edge hardware and software experiences. Their first products are beautifully-designed robots, Dash & Dot, that children can program using mobile devices. They are a multidisciplinary team of software and hardware designers, engineers, educators, and business leaders focused...
Wizeline|Wizeline transforms how teams build technology. We bring Silicon Valley innovation to the world with a global network of over 5000 developers and non-technical talent to build engaging customer experiences.  PlatformOur platform brings talent and technology together in one ecosystem to help enterprises develop and release intelligent software...
WizeHive|WizeHive provides two products focused on helping organizations automate and streamline their business activities.WizeHive Zengine is a next generation cloud-based platform that empowers a non-technical person to quickly build custom business applications, while also allowing developers to extend an application via plugins that add integrations...
Wizdee|Wizdee is a leading company in natural language processing, machine learning and semantic search. Our mission is to empower everyone with easy access to data. We developed a technology that allows users to freely explore data by themselves just by dictating or typing queries in a search box using everyday language.Our search engine...
WittyParrot|WittyParrot is a cloud based SaaS Company focused on enabling effective and consistent communication and content collaboration with insightful analytics among Sales, Marketing and Customer Support functions. WittyParrot delivers right content instantly for emails, presentations, RFPs and SOWs and makes communication effective, consistent, fast and...
Witsbits|Witsbits is a provider of cloud computing services.The company's flagship product, Go Cloud, is a software based cloud hosting platform that turns existing infrastructure into a full-blown public cloud, including both storage and computing.
Wit.ai|Wit.ai makes it easy for developers to build a Siri-like speech interface for their app or device. It's an API that turns natural language (speech or messages) into actionable data.Wit.ai is a Y Combinator company based in Palo Alto, CA.
Wireless Environment|Wireless Environment is an innovator of LED lighting technology that optimizes the performance of light-emitting diode (LED) lighting in off-grid lighting applications. Their products and technologies offer unique solutions to shift lighting off-grid and to manage lighting once off the grid.
Winerist|Winerist an award winning travel website with the world's largest online wine, food & travel community. With Winerist you can find & book over 1,000 authentic experiences, wine tours, cooking classes, winery visits and boutique hotels in over 85 destinations. Winerist is the TripAdvisor / Booking.com of the wine & food travel...
Windowfarms|Windowfarms are vertical, low-energy, high-yield edible gardens. The patent-pending hydroponic systems are currently sold online in the US & Canada. The company provides consumers, educators, and  food service businesses with attractive hydroponic systems, renewable accessories, and a shareable experience of growing fresh local...
WinWeb|WinWeb - Business Made Easy - Cloud Software & Business Services.Easy online business and enterprise cloud software for MAC & PC. Get a FREE demo today.WinWeb includes: - Business Accounting & Bookkeeping Cashbook Software Online - Business Planning Software, Cash-flow planning software & SWOT analysis- Online...
Wikisway|Wikisway is a Portland, OR based startup that builds visualization software for consumer content on the web.  Their first product, is a visualization of how investors, founders, and companies are connected on Crunchbase.  Collectively, their team represents experience in 11 startups across 4 continents.
Wiki-PR|Wiki-PR improves its clients’ encyclopedic presence with Wikipedia page management, page creation, editing, and translation services. The company was founded in February 2011 and is based in Austin, Texas.
CleanTech Technology|We offer a holistic carbon footprint management solution for the enterprise: A Wireless Sensor Network based solution that enables Intelligent Enterprise Management: Smart Energy Management, Physical Security Management and Industrial Automation and finally healthcare.The Product appeals to four market sectors: Enterprise Sector, SMEs in the...
Whodini|Founded in 2010, Whodini is a Los Altos based startup using artificial intelligence to help employees in large enterprises find expert coworkers.Whodini has created a multi-platform application that automatically generates detailed professional profiles to help users discover coworkers who can help.
WhoWanna|WhoWanna is a company founded in June 2013. Its a two-click app to reconnect yourself to your social life.
Who@|The Ultimate Business Development MachineStop searching for intros to raise money, close a deal or get on an exclusive golf course you've always wanted to play. Let the most relevant introductions come to you.Named an Austin Chamber A List Start Up & Knowledge@Wharton finalist before we've even launched, Who@ is a...
Who-Sells-it.com|Who-Sells-it.com offers a large collection of product and service catalogs which can be downloaded or looked online at.
Whiteyboard|Whiteyboard has come up with an ultra inexpensive white board that sticks on to any wall, weighs less than 2 pounds and gets you working in seconds.
WhiteSource|WhiteSource becomes part of your software development lifecycle (SDLC) and automates the entire process of open source components selection, approval, and management, including finding and fixing vulnerable components. They provide software development and security teams full control and visibility over their open source usage and helps them...
Whistlestop|Digital politics is a game: Candidates want to earn more Twitter followers, Facebook likes, views of their YouTube videos, and online donations.  Whistlestop is the playing field and scorekeeper for the game.  Whistlestop makes it easy and fun for users track how their candidates are performing and mobilize friends to support candidates using...
WhichSocial.com|WhichSocial.com is a Real Time Social Media ROI Tracking Software with Actionable Analytics.The software specialises in helping ROI driven companies to quantify & improve ROI from Pinterest, Facebook & Twitter.Our proprietary tracking technology & analytics platform enable key executives and the digital marketers to:-...
WheresTheBus|WheresTheBus LLC develops and offers vehicle tracking services. The company was founded in 2012 and is based in Wayland, Massachusetts.
WhereInFair|WhereInFair is a platform where you can discover the best Exhibitions, Trade-Shows and Conferences worldwide, rate and review them and connect with your potential business partners. WhereInFair is a platform to make your authentic voice heard and to find out new business opportunities and new markets.
Wheelwell, Inc.|Wheelwell is a visual marketplace for the automotive parts and services market. By leveraging the combined knowledge of enthusiasts, service professionals and brands, our platform aggregates the massive amount of disparate automotive data and turns it into meaningful information consumers can use to easily find the products and services they need....
Western PCA Clinics|Western PCA Clinics is a biotechnology company based in Scottsdale, Arizona. It was founded in 2011.
Wellbeats|WELLBEATS™, formerly Fitness On Request, introduced the virtual group fitness concept to the fitness industry in 2008. Since then the company has continued lead innovation in programming, delivery methods and technology applications to make group fitness more accessible to a wide audience while more targeted to meet individual needs. WELLBEATS™ has...
WelVU|WelVU Mobile provides iPad and iPhone based platforms that combine medical illustrations, custom images, and verbal conversation to create patient-specific health information videos that are portable, shareable, and personalized. The WelVU patient engagement platform provides rich features that empower healthcare providers and organizations to...
WeissBeerger|WeissBeerger leverages real-time data and The Internet of Things to revolutionize the relationship between breweries, bars, and consumers. By combining powerful software with a suite of hardware products, WeissBeerger enables breweries to have more access to bar operations and consumer behavior than ever before. In addition, they guarantee that the...
Weft|Much of the world's cargo travels from port to port and then on to rail and road in more than 20 million containers.  Today only 77,000 containers are actively tracked.  By 2016 this number is expected to increase to 1 million.   Through the Weft platform, which integrates with Weft sensors as well as sensors from other providers, and with...
Wedding Spot|"Wedding Spot is the first online marketplace that allows users to search, price, and book thousands of wedding venues. Working directly with venues, Wedding Spot gathers all the information required to allow newly engaged couples to easily search for venues based on budget, location, style, and guest count. Users can ""build out"" their..."
Webflow|Webflow is the first design and hosting platform built from the ground up for the mobile age.Webflow allows the user to design, build, and launch responsive websites visually, while writing clean, semantic code. It is the only hosted service that allows designers to create websites that work on every device, and push it live production without a...
Webcrumbz|Webcrumbz is the company behind Appticles.com - a mobile content distribution and monetization platform for small and medium publishers completely based around the concept of Open Web and HTML5.
WebPay|WebPay (formerly known as Fluxflex). Fluxflex develops a scalable shared web hosting service for LAMP applications with automated file sync system between user's local computers and its ready-to-use testing servers to let users prepare for nothing to start developing web services. Also, the user can reflect the modification of his application...
WeDidIt|WeDidIt helps nonprofits raise more money and reach new donors online. The software service takes the hassle out of online fundraising and makes donor research simple and powerful.  WeDidIt's donor research platform helps major gift officers identify hidden donors and social influencers for highly targeted fundraising campaigns. We're...
We Cluster|We Cluster, Inc. provides Linux clustering solutions worldwide. It develops and markets Kerrighed, a single system image operating system for clusters. The company also assists users in the integration of the clustering solutions by offering services that range from needs specification to customer support. We Cluster, Inc. was founded in 2011 and...
Wazzat|Wazzat powers apps with visual context, enabling easy access to the right content. With Wazzat, your app is more likely to understand your user's query/interests. Wazzat Fashion is built for tireless fashion-hungry shoppers to find the right product on their favorite stores resulting in faster checkouts. Explore the scope of Wazzat's...
Wayward Labs|Wayward Labs is a software development startup based in Sunnyvale, California. The company was launched by Ben Rahnema in 2014.
Wavecell|Wavecell simplifies real-time communications using Messaging, Chat Apps, Video Interaction and Voice solutions for platforms such as applications, websites, and services. Our strength lies in offering cloud-based multichannel communications to developers and enterprises for them to build better services by integrating our APIs and SDKs. Wavecell...
Wattics|Wattics software as a service has patented and commercialised a unique solution that tracks, manages and benchmarks the cost of electrical machines and appliances in industrial and commercial sites. Wattics has developed a solution for businesses to identify appliances consumption directly from the electricity panel and identify savings...
Wattbot|Wattbot is a free web-based energy expert that gives homeowners personalized advice on the most cost-effective ways to reduce their energy bills. It sells highly qualified permission-based leads to renewable energy and energy efficiency service providers, and subscriptions to residential energy market intelligence to manufacturers, retailers,...
Watly|Watly offers a solar hub that combines a water purifier/desalinator and an electric power station. The company’s mission is to improve global living standards for the most in-need people in the world through the development of technological solutions powered by clean and renewable energies.Watly was founded by Stefano Buiani, Marco Attisani,...
WaterSmart Software|WaterSmart Software provides intelligence beyond the meter to make the lives of water utility managers easier. Water providers using WaterSmart’s cloud-based, customer engagement and analytics platform have been proven to reduce costs, protect revenue, and increase customer satisfaction by more than 25%. WaterSmart recently won the globally coveted...
Warwick Analytics|Warwick Analytics offers advanced predictive analytics and process automation. Using Warwick Analytic's proprietary technology Optimised Learning, Its flagship product, PrediCX, automatically classifies data involving a lot of text by using machine learning to label concepts rather than rules/concepts, and requires minimum human effort...
Warrantly|Warrantly is the service that businesses and personals can use to store their warranties in one place so they won't lost them any more. They can track bought items through warranty period, report problems and more. Retailers and manufacturers can use this data to improve their products and gain new customers.
Wannabiz (Sociopal)|Wannabiz provide Small Business owners the ability to market online like a pro, promote the business and manage the social media appearance in one min a day.. An easy-to-use free app guides users through executing the right effective marketing activities to fuel their business growth, reach new customers and keep their existing ones engaged for the...
WallCompass|"WallCompass is the first Physical Web Platform, Our mission is to connect people, things and places, making information more accessible and easy to use. ""The Physical Web is an approach to unleash the core superpower of the web: interaction on demand. People should be able to walk up to any smart device - a vending machine, a poster, a..."
Walk-in|Walk-in is a mobile application that gives people ability to make appointments from their smartphones without any phone calls or any other way of communication. People can easily find places or people who they would like to schedule an appointment with, see their available day and hours, and send an appointment request using Walk-in. It is simple...
WakingApp Realities|Founded in 2013, WakingApp’s vision is to democratize Mixed Reality (augmented reality, virtual reality, and holograms) content creation, through an advanced platform that enables any business to create VR/AR content in minutes without any programming experience.Their goal is to enable millions of people to fill the growing demand for AR...
Wagon|We're building a one-click, no setup way to collaboratively create, visualize, and share data analysis — think Google Docs for data. Effortlessly import from anywhere, construct drag & drop charts, write custom SQL, build dashboards, and securely share them with your team.
Waggl, Inc.|Waggl is the #1 platform for real-time feedback, powered by employee voice. Organizations know that high performance is driven by engaged people, not measurement and numbers alone. Waggl delivers leaders real-time insight, deep alignment, informed decision-making and speed to action. Behavior change through participation is produced when employees...
Wabrikworks|"Wabrikworks is a startup established in 2011 to develop into a product the ideas that they have gathered while traveling and living around the world. Their products follow the ""making life simpler"" idea.Currently they have developed the worlds smallest full size smart card reader (+iD) and there are many ideas for different gadgets on..."
Wable Systems|Wable is a company that provides the restaurant customer, the hotel guest and the club client a new, simple and modern way of reserving, ordering, paying and entertaining.The startup is intended to revolutionize the way you socialize, bringing the latest technologies in the places you meet, eat, talk and have fun. We believe that technology...
WOO Sports|Founded by three passionate European kiteboarders, WOO is redefining the way action sports is played, viewed and consumed with the first-ever onboard motion sensor device + app experience.There is no means to measure performance in action sports. Even X-Games and Olympics still rely on the judgment of the human eye. We build the technology to...
WISErg Corporation|WISErg is a hybrid technology company of innovators experienced in technology, waste management and resource conservation. It has created a proprietary new, oxidative conversion solution to address the urban organic waste stream issue. The entire WISErg team is passionately committed to innovating with technology, solving community problems with...
WISETIVI|We building alternative to Smart TV - named WISE TIVI it turn any TV to Smart TV in second. We have 2 devices : first portable one, and second with Skype camera. All our devices based on Android 4.1 so you can use all Android apps from Google play. We have accesories like game controller and wireless keyboard with airmouse. Devices have powerfull 4...
WISE s.r.l|WISE (Wiringless Implantable Stretchable Electronics) is a start-up company created in 2011 with the mission of producing the new generation of leads for neuromodulation for treatment of chronic pain and Parkinson: unbreakable, less invasive and cheaper.
Vyykn|Vyykn is providing a brilliant solution to a still unnoticed worldwide issue.
Vyu Inc|Vyu solves the problem people have with finding content, news, video clips, etc. relating to their favorite TV shows. Instead of wasting time searching through lots of websites and doing hashtag searches on Twitter and Facebook, we consolidate the experience by bringing the very latest news, clips, and social conversations to users so that they can...
Vycor Medical|Vycor Medical, Inc. is a medical device company committed to making neurological brain, spinal and other surgical procedures safer and more effective. Vycor's innovative medical instruments are designed to optimize neurosurgical site access, reduce patient risk, accelerate recovery, and add tangible value to the professional medical community.
Vy Corporation|Vy is a software development company specializing in shape detection and object analysis software and services for the medical imaging market. Their first product, called CytoSavvy.com, identifies clusters of cells in liver biopsies, kidney biopsies and other cell imagery using Vy’s patented CellQuant™ search technology. Their mission is to help...
Vurb|Vurb’s mission is to create a smarter, more connected mobile world that empowers people to do more of what they want all in one app. Vurb enables people to find, plan, and do by connecting them to the most relevant information and tools from apps and services in a single mobile experience. The company was founded in 2011 by Bobby Lo and was the...
Vungle|Vungle is the leading in-app video platform for performance marketers. Its mission is to deliver the highest value users through engaging video ads. Advertisers depend on Vungle's LTV and creative optimization technologies, targeting and HD video ad delivery to reach and acquire high-value users worldwide. Vungle is trusted by 20,000+...
Voz.io|"Built on the latest VOIP technologies, Voz.io enables companies to deploy a robust
phone-support solution with zero infrastructure aside from access to an internet enabled
computer. Voz.io leverages HTML5 WebRTC technology to deliver peer-to-
peer, encrypted, high definition audio/video from within the Web browser -
eliminating the need for..."
Voyat|Voyat is the technology company powering direct connections between hotels and customers online and on-property to define a new tier in guest loyalty. Using Voyat’s lightweight platform, hotels can achieve true 1:1 relationships with their guests and present offers, promotions and guest loyalty rewards tailored to every individual. Voyat creates a...
Voxound|Voxound.com puts you up to date with technological developments in the world to live forever and feel the evolution.
Voxeet|"Voxeet is now clearly positioned as the leading real-time collaboration platform (cPaaS) that enables WebRTC with the only highly secure, crystal clear 3D surround-sound, audio and video experience. After being named a Gartner Cool Vendor 2016, we were just recognized as the 2017 ""Hot Vendor"" in Unified Communications and Collaboration..."
Voxound|Voxound.com puts you up to date with technological developments in the world to live forever and feel the evolution.
Voxbone|Voxbone makes it unbelievably easy to set up and manage global business communications. Our on-demand virtual numbers and SMS services allow businesses to extend their reach into over 9,000 area codes in 60+ countries–at the touch of a button. Voxbone’s happy customers include: Skype, Zoom, 8x8, Dialpad, Orange Business Services, foodpanda,...
Voxa|Voxa is a messaging intelligence platform that accelerates response time and unleashes the power of business email. Go faster, smarter.
VouchAR|The World's first stand-alone Augmented Reality mobile discount voucher application.VouchAR will find your current location via GPS, hunt for nearby coupons and then display the results on top of video of the real world as seen through the camera on your mobile device.The future of discount shopping? Take a look....
Vonvo.com|Short for video convo, Vonvo is a real-time video events platform and online donation tool.  It was designed specifically to help non-profits increase awareness and raise funds to fuel their programs.  Vonvo brings non-profit marketing and fundraising efforts to a new level with technology that makes learning about social issues and donating more...
Voltaic Coatings|Voltaic Coatings owns the exclusive license to a pending composition of matter patent for a new material created at the University of Delaware. The material transforms the way electronic displays, touch screens, organic lighting, and thin film solar devices are produced. The customizability of our product will enable our clients to replace the...
Volt Athletics|Volt Athletics Inc. ® (‘Volt’) is a Seattle-based sports tech company dedicated to making elite-level workout programs accessible to athletes everywhere through cutting-edge technology. Trusted by over 250,000 athletes and coaches worldwide, Volt’s sport-specific training is built by performance experts and delivered through an AI-enabled app. Volt...
Vividolabs|Vivido Labs Inc. provides on-demand enterprise mobility solutions for sales, marketing, business intelligence, and mobile employee productivity. The company develops and operates an enterprise mobile platform that provides various on-demand applications, including SalesMojo, which provides increased sales productivity and enables dissemination of...
Toss|Toss completely transforms the way P2P payments is being conducted in Korea where mobile banking apps required OTP devices and 2-3 passwords to simply pay someone back for a cup of coffee. Since Toss launched in February of 2015, Toss garnered over 13 million app downloads and processed over USD$10 billion in P2P payments. Adding to its success...
Vitrue|Vitrue offers the industry’s most scalable and secure cloud-based social marketing solution, enabling brands to harness the full marketing potential of social on Facebook, Twitter, Google+, YouTube and emerging platforms. The award-winning Vitrue SRM platform collectively manages more than one billion social relationships in over 100 countries...
Vitasoft|VITASOFT is a team of experts in the field of software solutions for the insurance industry: systems for the automation of insurance business, online front-office systems and high-loaded web applications, reporting and analytical systems and business intelligence solutions. VITASOFT is a partner of Microsoft and QlikTech.
